id,AB,Longitud,Latitud
616,170.000000,-25.409,37.793
617,170.000000,-25.405,37.793
618,170.000000,-25.401,37.793
619,170.000000,-25.402,37.790
620,170.000000,-25.402,37.787
621,170.000000,-25.400,37.784
622,170.000000,-25.398,37.781
623,170.000000,-25.395,37.779
624,170.000000,-25.392,37.777
625,170.000000,-25.389,37.778
626,170.000000,-25.386,37.779
627,170.000000,-25.386,37.775
628,170.000000,-25.382,37.770
629,170.000000,-25.384,37.772
630,170.000000,-25.380,37.769
631,170.000000,-25.377,37.771
632,170.000000,-25.374,37.771
633,170.000000,-25.371,37.768
634,170.000000,-25.369,37.767
635,170.000000,-25.368,37.770
636,170.000000,-25.364,37.771
637,170.000000,-25.359,37.772
638,170.000000,-25.355,37.772
639,170.000000,-25.351,37.772
640,170.000000,-25.347,37.772
641,170.000000,-25.343,37.770
642,170.000000,-25.341,37.765
643,170.000000,-25.342,37.763
644,170.000000,-25.340,37.759
645,170.000000,-25.336,37.759
646,170.000000,-25.333,37.762
647,170.000000,-25.331,37.765
648,170.000000,-25.327,37.768
649,170.000000,-25.323,37.770
650,170.000000,-25.318,37.772
651,170.000000,-25.316,37.771
652,170.000000,-25.312,37.771
653,170.000000,-25.309,37.769
654,170.000000,-25.305,37.767
655,170.000000,-25.302,37.764
656,170.000000,-25.300,37.761
657,170.000000,-25.300,37.757
658,170.000000,-25.302,37.755
659,170.000000,-25.308,37.751
660,170.000000,-25.305,37.753
661,170.000000,-25.310,37.749
662,170.000000,-25.310,37.745
663,170.000000,-25.309,37.741
664,170.000000,-25.307,37.737
665,170.000000,-25.306,37.733
666,170.000000,-25.306,37.729
667,170.000000,-25.305,37.725
668,170.000000,-25.303,37.723
669,170.000000,-25.301,37.720
670,170.000000,-25.299,37.717
671,165.000000,-25.329,37.702
672,165.000000,-25.329,37.707
673,165.000000,-25.328,37.712
674,165.000000,-25.324,37.715
675,165.000000,-25.321,37.717
676,165.000000,-25.321,37.722
677,165.000000,-25.321,37.726
678,165.000000,-25.322,37.731
679,165.000000,-25.323,37.735
680,165.000000,-25.325,37.738
681,165.000000,-25.328,37.739
682,165.000000,-25.331,37.740
683,165.000000,-25.334,37.738
684,165.000000,-25.335,37.740
685,165.000000,-25.335,37.744
686,165.000000,-25.336,37.747
687,165.000000,-25.340,37.749
688,165.000000,-25.343,37.751
689,165.000000,-25.345,37.753
690,165.000000,-25.347,37.756
691,165.000000,-25.345,37.760
692,165.000000,-25.346,37.763
693,165.000000,-25.348,37.763
694,165.000000,-25.351,37.763
695,165.000000,-25.355,37.764
696,165.000000,-25.358,37.766
697,165.000000,-25.360,37.765
698,165.000000,-25.362,37.761
699,165.000000,-25.364,37.758
700,165.000000,-25.365,37.754
701,165.000000,-25.363,37.749
702,165.000000,-25.363,37.745
703,165.000000,-25.363,37.741
704,165.000000,-25.366,37.737
705,165.000000,-25.369,37.735
706,165.000000,-25.372,37.734
707,165.000000,-25.376,37.733
708,165.000000,-25.380,37.734
709,165.000000,-25.382,37.737
710,165.000000,-25.381,37.741
711,165.000000,-25.381,37.743
712,165.000000,-25.384,37.743
713,165.000000,-25.389,37.744
714,165.000000,-25.393,37.746
715,165.000000,-25.398,37.748
716,165.000000,-25.401,37.751
717,165.000000,-25.404,37.754
718,165.000000,-25.407,37.756
719,165.000000,-25.407,37.760
720,165.000000,-25.406,37.763
721,165.000000,-25.403,37.765
722,165.000000,-25.402,37.769
723,165.000000,-25.403,37.772
724,165.000000,-25.405,37.777
725,165.000000,-25.408,37.780
726,165.000000,-25.411,37.783
727,165.000000,-25.414,37.786
728,165.000000,-25.417,37.789
729,165.000000,-25.417,37.793
730,165.000000,-25.422,37.795
731,165.000000,-25.427,37.796
732,165.000000,-25.432,37.797
733,165.000000,-25.436,37.798
734,165.000000,-25.440,37.800
735,165.000000,-25.444,37.800
736,165.000000,-25.447,37.803
737,165.000000,-25.449,37.806
738,165.000000,-25.453,37.808
739,165.000000,-25.457,37.809
740,165.000000,-25.461,37.809
741,165.000000,-25.462,37.812
742,165.000000,-25.462,37.816
743,165.000000,-25.460,37.820
744,165.000000,-25.460,37.825
745,165.000000,-25.461,37.829
746,165.000000,-25.461,37.833
747,165.000000,-25.461,37.836
748,165.000000,-25.460,37.841
749,165.000000,-25.460,37.845
750,160.000000,-25.481,37.850
751,160.000000,-25.482,37.847
752,160.000000,-25.482,37.843
753,160.000000,-25.482,37.840
754,160.000000,-25.482,37.836
755,160.000000,-25.483,37.833
756,160.000000,-25.485,37.831
757,160.000000,-25.489,37.828
758,160.000000,-25.492,37.825
759,160.000000,-25.494,37.822
760,160.000000,-25.497,37.820
761,160.000000,-25.499,37.818
762,160.000000,-25.501,37.815
763,160.000000,-25.501,37.812
764,160.000000,-25.503,37.809
765,160.000000,-25.506,37.808
766,160.000000,-25.510,37.809
767,160.000000,-25.514,37.811
768,160.000000,-25.517,37.813
769,160.000000,-25.520,37.815
770,160.000000,-25.523,37.817
771,160.000000,-25.525,37.814
772,160.000000,-25.524,37.809
773,160.000000,-25.522,37.806
774,160.000000,-25.524,37.803
775,160.000000,-25.520,37.802
776,160.000000,-25.517,37.801
777,160.000000,-25.515,37.798
778,160.000000,-25.514,37.795
779,160.000000,-25.513,37.792
780,160.000000,-25.513,37.788
781,160.000000,-25.512,37.784
782,160.000000,-25.508,37.782
783,160.000000,-25.503,37.780
784,160.000000,-25.499,37.779
785,160.000000,-25.493,37.779
786,160.000000,-25.487,37.780
787,160.000000,-25.481,37.783
788,160.000000,-25.477,37.786
789,160.000000,-25.474,37.790
790,1600.000000,-25.473,37.794
791,160.000000,-25.470,37.797
792,160.000000,-25.465,37.797
793,160.000000,-25.460,37.795
794,160.000000,-25.454,37.793
795,160.000000,-25.449,37.792
796,160.000000,-25.445,37.790
797,160.000000,-25.440,37.788
798,160.000000,-25.439,37.785
799,160.000000,-25.435,37.782
800,160.000000,-25.430,37.782
801,160.000000,-25.426,37.782
802,160.000000,-25.423,37.779
803,160.000000,-25.423,37.775
804,160.000000,-25.422,37.772
805,160.000000,-25.418,37.772
806,160.000000,-25.415,37.773
807,160.000000,-25.412,37.771
808,160.000000,-25.415,37.769
809,160.000000,-25.418,37.769
810,160.000000,-25.421,37.768
811,160.000000,-25.421,37.765
812,160.000000,-25.422,37.760
813,160.000000,-25.424,37.755
814,160.000000,-25.424,37.751
815,160.000000,-25.421,37.748
816,160.000000,-25.424,37.743
