Linea,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal
Tenerife,943027,"28° 16' 20,3888''","- 16° 44' 11,5579''",1735.4421,1782981,0.05,978952.24
Tenerife,943029,"28° 16' 32,0118''","- 16° 43' 46,2295''",1795.6950,1843272,0.05,978939.66
Tenerife,943030,"28° 16' 03,1834''","- 16° 43' 41,6829''",1860.4976,1908440,0.05,979024.72
Tenerife,943031,"28° 15' 42,5752''","- 16° 43' 18,7569''",1911.6315,1959473,0.05,979017.32
Tenerife,943032,"28° 15' 18,4406''","- 16° 42' 53,4308''",1969.1578,2017114,0.05,979007.59
Tenerife,943033,"28° 14' 58,8826''","- 16° 42' 29,5925''",2020.7492,2068802,0.05,978999.71
Tenerife,943034,"28° 14' 31,3582''","- 16° 42' 10,1300''",2080.6982,2128723,0.05,978989.59
Tenerife,943036,"28° 14' 08,7317''","- 16° 41' 46,1443''",2084.6434,2132710,0.05,978993.37
Tenerife,943037,"28° 13' 42,2983''","- 16° 41' 25,5206''",2088.2449,2136358,0.05,978995.04
Tenerife,943038,"28° 13' 16,3007''","- 16° 41' 04,5419''",2060.6900,2108799,0.05,979001.06
Tenerife,944002,"28° 22' 04,6691''","- 16° 44' 02,8143''",363.5657,410087,0.05,979329.67
Tenerife,944003,"28° 21' 51,4783''","- 16° 43' 43,0486''",412.6208,459255,0.05,979320.22
Tenerife,944004,"28° 21' 48,9993''","- 16° 44' 06,7402''",470.3764,516923,0.05,979309.07
Tenerife,944005,"28° 21' 34,3775''","- 16° 43' 56,1700''",540.2500,586881,0.05,979295.04
Tenerife,944006,"28° 21' 26,2333''","- 16° 43' 57,1094''",593.6845,642296,0.05,979283.73
Tenerife,944008,"28° 21' 21,3025''","- 16° 43' 54,6365''",642.2131,688968,0.05,979273.94
Tenerife,944009,"28° 21' 19,9123''","- 16° 44' 15,3811''",661.0458,707744,0.05,979270.38
Tenerife,944010,"28° 21' 13,8490''","- 16° 44' 32,9675''",708.6132,755387,0.05,979260.95
Tenerife,944011,"28° 20' 58,6093''","- 16° 44' 52,2882''",791.0493,837856,0.05,979245.57
Tenerife,944012,"28° 20' 44,9700''","- 16° 45' 07,1805''",851.5275,898355,0.05,979234.19
Tenerife,944013,"28° 20' 27,6468''","- 16° 45' 19,3655''",922.9260,969800,0.05,979220.24
Tenerife,944015,28° 20' 09'',- 16° 45' 32'',983.6342,1030,no encontrada,979208.24
Tenerife,944016,"28° 19' 58,5984''","- 16° 45' 23,9157''",1037.9027,1086649,0.05,979196.66
Tenerife,944017,"28° 19' 53,3828''","- 16° 45' 57,5316''",1057.0431,1104022,0.05,979193.08
Tenerife,944018,"28° 19' 49,0786''","- 16° 46' 32,9863''",1071.0409,1117928,0.05,979191.77
Tenerife,944020,"28° 19' 48,6772''","- 16° 47' 09,4762''",1071.3737,no encontrada,no encontrada,979193.24
Tenerife,944021,"28° 19' 30,8114''","- 16° 47' 36,2231''",1122.1484,1168893,0.05,979184.74
Tenerife,944022,"28° 19' 06,1021''","- 16° 47' 49,6491''",1133.7563,1180611,0.05,979186.5
Tenerife,945001,"28° 22' 33,5839''","- 16° 35' 12,9606''",383.0350,429945,0.05,979328.22
Tenerife,945002,"28° 22' 33,0146''","- 16° 35' 28,0950''",420.5004,467437,0.05,979318.5
Tenerife,945003,"28° 22' 24,3412''","- 16° 35' 21,0106''",468.6877,515655,0.05,979308.42
Tenerife,945004,"28° 22' 25,7096''","- 16° 35' 39,1578''",522.2105,569161,0.05,979295.02
Tenerife,945006,"28° 22' 42,8795''","- 16° 35' 47,6127''",508.1089,554953,0.05,979295.9
Tenerife,945007,"28° 22' 59,8706''","- 16° 36' 10,3898''",521.0719,567799,0.05,979290.18
Tenerife,945008,"28° 23' 04,6712''","- 16° 36' 15,9996''",572.9144,619609,0.05,979277.07
