id,AB,Longitud,Latitud
419,185.000000,-25234,37761
420,185.000000,-25232,37759
421,185.000000,-25231,37757
422,185.000000,-25229,37756
423,185.000000,-25226,37754
424,185.000000,-25224,37752
425,185.000000,-25223,37750
426,185.000000,-25222,37748
427,185.000000,-25219,37747
428,185.000000,-25217,37745
429,185.000000,-25214,37745
430,185.000000,-25212,37746
431,185.000000,-25210,37747
432,185.000000,-25207,37748
433,185.000000,-25205,37749
434,185.000000,-25202,37749
435,185.000000,-25199,37749
436,185.000000,-25197,37749
437,185.000000,-25195,37748
438,185.000000,-25192,37747
439,185.000000,-25190,37745
440,185.000000,-25188,37744
441,185.000000,-25186,37743
442,185.000000,-25184,37741
443,185.000000,-25182,37740
444,185.000000,-25179,37738
445,185.000000,-25178,37736
446,185.000000,-25177,37733
447,185.000000,-25176,37732
448,185.000000,-25174,37730
449,185.000000,-25173,37729
450,185.000000,-25171,37728
451,185.000000,-25168,37728
452,185.000000,-25166,37729
453,185.000000,-25164,37728
454,175.000000,-25318,37883
455,175.000000,-25318,37881
456,175.000000,-25318,37879
457,175.000000,-25317,37876
458,175.000000,-25316,37874
459,175.000000,-25315,37872
460,175.000000,-25314,37871
461,175.000000,-25313,37869
462,175.000000,-25312,37868
463,175.000000,-25311,37866
464,173.000000,-25310,37865
465,175.000000,-25310,37863
466,175.000000,-25311,37861
467,175.000000,-25313,37860
468,175.000000,-25315,37859
469,175.000000,-25317,37858
470,175.000000,-25319,37857
471,175.000000,-25321,37857
472,175.000000,-25322,37856
473,175.000000,-25323,37854
474,175.000000,-25324,37853
475,175.000000,-25325,37851
476,175.000000,-25326,37848
477,175.000000,-25326,37846
478,175.000000,-25327,37844
479,175.000000,-25328,37842
480,175.000000,-25329,37840
481,175.000000,-25331,37838
482,175.000000,-25332,37837
483,175.000000,-25334,37835
484,175.000000,-25335,37833
485,175.000000,-25337,37832
486,175.000000,-25339,37830
487,175.000000,-25341,37830
488,175.000000,-25344,37829
489,175.000000,-25346,37830
490,175.000000,-25348,37830
491,175.000000,-25351,37829
492,175.000000,-25354,37830
493,175.000000,-25357,37830
494,175.000000,-25359,37831
495,175.000000,-25362,37831
