Archivo_Origen,Pagina_PDF,ID_Punto,Latitud,Longitud,Alt_Ortometrica,Alt_Elipsoidal,Precision_m,Gravedad_mGal,Tipo_Gravedad
Lin02902,2,2902002,29° 12' 59'',- 13° 28' 44'',482.5765,DATO NO DETECTADO,DATO NO DETECTADO,979324.83,Observada
Lin02902,3,2902003,"29° 12' 58,9144''","- 13° 28' 43,9386''",483.7831,529.357,0.05,979327.46,Observada
Lin03901,1,3901001,"28° 57' 31,2712''","- 13° 46' 19,4261''",152.1314,197.023,0.05,979370.13,Observada
Lin03901,2,3901002,"28° 57' 11,0697''","- 13° 46' 56,6921''",128.0136,172.836,0.05,979375.48,Observada
Lin03901,3,3901003,"28° 56' 49,8127''","- 13° 47' 25,5676''",97.4477,142.262,0.05,979382.94,Observada
Lin03901,4,3901004,"28° 56' 35,8988''","- 13° 47' 54,4152''",78.5344,123.269,0.05,979388.03,Observada
Lin03901,5,3901005,"28° 56' 11,0675''","- 13° 48' 50,6323''",56.5514,101.206,0.05,979393.76,Observada
Lin03901,6,3901006,28° 56' 11'',- 13° 48' 51'',56.5502,DATO NO DETECTADO,DATO NO DETECTADO,979393.76,Observada
Lin03901,7,3901007,"28° 55' 42,9754''","- 13° 49' 21,3641''",40.0499,84.680,0.05,979399,Observada
Lin03901,8,3901008,"28° 55' 08,9059''","- 13° 49' 36,7085''",27.1806,71.810,0.05,979404.61,Observada
Lin03901,9,3901009,"28° 54' 26,7483''","- 13° 49' 51,2375''",29.5789,74.194,0.05,979407.04,Observada
Lin03901,10,3901010,"28° 53' 56,0023''","- 13° 50' 02,2220''",32.1304,76.731,0.05,979405.72,Observada
Lin03901,11,3901011,28° 53' 56'',- 13° 50' 02'',32.2687,DATO NO DETECTADO,DATO NO DETECTADO,979405.67,Observada
Lin03901,12,3901012,"28° 53' 18,4581''","- 13° 50' 00,9800''",42.7798,87.380,0.05,979399,Observada
Lin03901,13,3901013,"28° 52' 42,9702''","- 13° 49' 55,7255''",33.8724,78.465,0.05,979395.24,Observada
Lin03901,14,3901014,"28° 52' 05,9926''","- 13° 49' 53,2574''",29.7631,74.361,0.05,979393.42,Observada
Lin03901,15,3901015,"28° 51' 31,1625''","- 13° 50' 01,2237''",3.0013,47.582,0.05,979398,Observada
Lin03901,16,3901016,28° 51' 31'',- 13° 50' 01'',2.5261,DATO NO DETECTADO,DATO NO DETECTADO,979398.22,Observada
Lin03901,17,3901017,"28° 51' 47,5913''","- 13° 49' 46,9874''",6.3297,50.915,0.05,979397.96,Observada
Lin03901,18,3901018,"28° 51' 48,7311''","- 13° 48' 58,0180''",10.3245,54.987,0.05,979396.84,Observada
Lin03901,19,3901019,"28° 51' 41,5839''","- 13° 48' 15,7269''",27.2332,71.852,0.05,979389.65,Observada
Lin03901,20,3901020,"28° 51' 34,4151''","- 13° 47' 53,0660''",27.9091,72.569,0.05,979387.25,Observada
Lin03901,21,3901021,28° 51' 24'',- 13° 47' 33'',45.5985,DATO NO DETECTADO,DATO NO DETECTADO,979380.49,Observada
Lin03901,22,3901022,"28° 51' 24,4693''","- 13° 47' 33,4671''",46.8090,91.443,0.05,979380.12,Observada
Lin03902,1,3902001,"29° 11' 18,4545''","- 13° 28' 24,6117''",366.3830,411.896,0.05,979350.81,Observada
Lin04901,1,4901001,"28° 56' 11,0750''","- 13° 48' 50,6420''",56.5582,101.181,0.05,979393.76,Observada
Lin04902,1,Anterior,Altitud elipsoidal:,Latitud:,DATO NO DETECTADO,DATO NO DETECTADO,DATO NO DETECTADO,DATO NO DETECTADO,No disponible
Lin04902,2,4902002,"28° 58' 25,0841''","- 13° 31' 31,7753''",4.3726,49.224,0.05,979428.44,Observada
Lin04902,3,Anterior,Altitud elipsoidal:,NO EXISTE FOTOGRAFÃ(cid:141)A,DATO NO DETECTADO,DATO NO DETECTADO,DATO NO DETECTADO,DATO NO DETECTADO,No disponible
Lin04902,4,4902004,28° 58' 19'',- 13° 31' 48'' NO EXISTE FOTOGRAFÃ(cid:141)A,2.5379,DATO NO DETECTADO,DATO NO DETECTADO,979429,Observada
Lin05901,1,5901001,"28° 55' 37,7504''","- 13° 49' 26,4019''",43.0792,87.649,DATO NO DETECTADO,979398.06,Observada
Lin06901,1,6901001,"28° 53' 18,4029''","- 13° 50' 02,6516''",45.3765,89.940,0.05,979398.2,Observada
Lin07901,1,7901001,"28° 51' 33,8245''","- 13° 49' 57,4459''",2.4005,46.944,0.05,979398.26,Observada
