id,AB (mGal),Longitud,Latitud
426,128.000000,-28.508,38.541
427,128.000000,-28.512,38.539
428,128.000000,-28.517,38.538
429,128.000000,-28.521,38.539
430,129.000000,-28.359,38.416
431,129.000000,-28.362,38.417
432,129.000000,-28.365,38.419
433,129.000000,-28.367,38.421
434,129.000000,-28.369,38.423
435,129.000000,-28.371,38.424
436,129.000000,-28.374,38.426
437,129.000000,-28.376,38.427
438,129.000000,-28.380,38.428
439,129.000000,-28.383,38.428
440,129.000000,-28.386,38.429
441,129.000000,-28.389,38.430
442,129.000000,-28.392,38.430
443,129.000000,-28.395,38.430
444,129.000000,-28.397,38.428
445,129.000000,-28.399,38.427
446,129.000000,-28.402,38.426
447,129.000000,-28.421,38.430
448,129.000000,-28.424,38.431
449,129.000000,-28.428,38.431
450,129.000000,-28.430,38.432
451,129.000000,-28.421,38.454
452,129.000000,-28.425,38.454
453,129.000000,-28.428,38.454
454,129.000000,-28.431,38.453
455,129.000000,-28.433,38.451
456,129.000000,-28.435,38.449
457,129.000000,-28.437,38.447
458,129.000000,-28.439,38.444
459,129.000000,-28.438,38.441
460,129.000000,-28.438,38.437
461,129.000000,-28.435,38.434
462,129.000000,-28.433,38.433
463,129.000000,-28.384,38.454
464,129.000000,-28.381,38.455
465,129.000000,-28.377,38.455
466,129.000000,-28.374,38.456
467,129.000000,-28.370,38.457
468,129.000000,-28.367,38.460
469,129.000000,-28.364,38.462
470,129.000000,-28.361,38.464
471,129.000000,-28.358,38.468
472,129.000000,-28.356,38.471
473,129.000000,-28.354,38.474
474,129.000000,-28.353,38.478
475,129.000000,-28.353,38.482
476,129.000000,-28.352,38.485
477,129.000000,-28.348,38.487
478,129.000000,-28.343,38.488
479,129.000000,-28.339,38.489
480,129.000000,-28.336,38.489
481,129.000000,-28.332,38.490
482,129.000000,-28.328,38.491
483,129.000000,-28.324,38.491
484,129.000000,-28.322,38.490
485,129.000000,-28.321,38.486
486,129.000000,-28.320,38.483
487,129.000000,-28.317,38.481
488,129.000000,-28.314,38.483
489,129.000000,-28.311,38.484
490,129.000000,-28.308,38.485
491,129.000000,-28.305,38.484
492,129.000000,-28.302,38.483
493,129.000000,-28.299,38.482
494,129.000000,-28.297,38.480
