Longitud_DD,Latitud_DD,Elevacion_m,Gravedad_Obs_mGal,Gravedad_Normal_mGal,Anomalia_Aire_Libre_mGal,Anomalia_Bouguer_Simple_mGal,Anomalia_Bouguer_Completa_mGal
-17.198611111111113,28.143055555555556,439.9625,979351.48,979046.5323801282,304.94761987181846,257.72169315181844,313.91234593163375
-17.199521444444446,28.144385944444444,374.1053,979367.29,979066.9573439319,300.3326560681453,260.17589388190527,308.74857860220857
-17.19420486111111,28.141519166666665,337.9131,979371.81,979077.912039321,293.8979606790235,257.62609819454354,302.2151445114776
-17.198864944444445,28.148534555555557,274.64,979389.91,979097.9674193993,291.9425806007348,262.4625032887348,299.4077314479281
-17.198115833333333,28.160870944444444,228.9064,979402.2,979113.0096776781,289.19032232183963,264.61932622071964,295.80144648171586
-17.198239055555558,28.160868333333333,160401,979417.62,979134.1539216718,283.46607832820155,266.24850666740156,289.64367318205694
-17.194050722222222,28.168594833333334,99.7,979430.14,979153.4706712763,276.6693287236849,265.9674509636849,282.2184513781496
-17.190277777777776,28.169444444444444,100.5128,979429.89,979153.2836356731,276.6063643269008,265.8172399646608,282.11405978122554
-17.187244833333335,28.173815305555557,74.9011,979431.64,979161.5176702531,270.1223297469551,262.0823857520751,275.364209061156
-17.18621511111111,28.17811513888889,125.7114,979419.85,979146.1573852078,273.69261479214765,260.1986525470277,279.1541616575058
-17.187241694444445,28.183334694444444,171.6035,979406.86,979132.3846854406,274.475314559415,256.05525758661497,280.14378944357617
-17.19438761111111,28.185474527777778,194.2069,979405.1,979125.56889857,279.5311014299514,258.6847774184314,285.3748387694815
-17.197741277777777,28.187356472222223,242.0323,979397.16,979110.9490751681,286.2109248319175,260.2309841240775,292.3640205737972
-17.202274888888887,28.190963777777778,310.8813,979383.06,979089.970636188,293.0893638120033,259.71911636496327,299.7071908799931
-17.204166666666666,28.189722222222223,312.4384,979382.58,979089.3967059836,293.1832940164022,259.6459062096822,299.84194598132717
-17.20815013888889,28.188823444444445,372586,979372.76,979070.7656557293,301.9943442706717,262.00066496187173,309.097743850272
-17.21380136111111,28.186880277777778,433.8304,979364.16,979051.7181154186,312.4418845814653,265.87418238114526,320.06135176575054
-17.219634638888888,28.186012,520.6196,979348.51,979024.8686079716,323.6413920284249,267.7576676687449,331.9968859096304
-17.225527083333333,28.1852435,582.5767,979332.06,979005.6907664977,326.3692335023079,263.8349844629479,335.3852480410259
-17.22241872222222,28.18949313888889,623.8565,979319.78,978993.2715773055,326.50842269451823,259.54316689931824,335.6500625896562
-17.224999999999998,28.19,624.5378,979319.57,978993.0994455009,326.470554499072,259.43216741683204,335.7390071170035
-17.229439083333332,28.19103975,609.8977,979325.71,978997.6954455911,328.01455440884456,262.54764737268454,337.4350278327616
-17.23232897222222,28.18828761111111,555.7136,979338.92,979014.2095669736,324.7104330264265,265.05969063154646,333.9313976269628
-17.23656975,28.182041861111113,480.8446,979351.08,979036.8450577537,314.23494224622846,262.62069820654847,323.27143311557694
-17.24200477777778,28.180608944444444,432.5867,979360.57,979051.630471862,308.9395281379111,262.5053256905511,318.2349181730637
-17.244444444444447,28.179722222222225,369.5741,979370.31,979071.0109859966,299.2990140034817,259.62863445020173,308.45804276174414
-17.246129916666668,28.179247194444446,367.5482,979370.94,979071.6005276103,299.33947238966357,259.8865545631036,308.85454289616655
-17.248812833333336,28.18448052777778,331892,979388.01,979082.9985524587,305.0114475412993,269.3858947476993,314.91653997542574
-17.253145083333333,28.182508833333333,297.9675,979388.9,979093.3206473753,295.5793526247144,263.59528280071436,307.90725218643354
-17.259365111111112,28.18763722222222,233.1559,979409.05,979113.709859362,295.3401406380581,270.3129998073381,314.17678668430926
