id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º
268,110.000000,39,-29,38.572,-28.707
269,110.000000,39,-29,38.577,-28.706
270,110.000000,39,-29,38.581,-28.709
271,109.000000,39,-29,38.531,-28.629
272,109.000000,39,-29,38.533,-28.634
273,109.000000,39,-29,38.529,-28.638
274,109.000000,39,-29,38.532,-28.642
275,109.000000,39,-29,38.535,-28.646
276,109.000000,39,-29,38.536,-28.652
277,109.000000,39,-29,38.537,-28.658
278,109.000000,39,-29,38.539,-28.665
279,109.000000,39,-29,38.537,-28.668
280,109.000000,39,-29,38.536,-28.673
281,109.000000,39,-29,38.537,-28.678
282,109.000000,39,-29,38.541,-28.678
283,109.000000,39,-29,38.546,-28.677
284,109.000000,39,-29,38.551,-28.679
285,109.000000,39,-29,38.552,-28.683
286,109.000000,39,-29,38.554,-28.687
287,109.000000,39,-29,38.556,-28.692
288,109.000000,39,-29,38.558,-28.697
289,109.000000,39,-29,38.560,-28.702
290,109.000000,39,-29,38.561,-28.708
291,109.000000,39,-29,38.563,-28.713
292,109.000000,39,-29,38.564,-28.717
293,109.000000,39,-29,38.569,-28.717
294,109.000000,39,-29,38.570,-28.723
295,109.000000,39,-29,38.567,-28.727
296,109.000000,39,-29,38.565,-28.732
297,109.000000,39,-29,38.565,-28.738
298,109.000000,39,-29,38.567,-28.740
299,109.000000,39,-29,38.567,-28.745
300,109.000000,39,-29,38.570,-28.749
301,109.000000,39,-29,38.573,-28.750
302,109.000000,39,-29,38.577,-28.750
303,109.000000,39,-29,38.581,-28.748
304,109.000000,39,-29,38.585,-28.748
305,109.000000,39,-29,38.589,-28.749
306,109.000000,39,-29,38.593,-28.751
307,109.000000,39,-29,38.596,-28.751
308,109.000000,39,-29,38.599,-28.748
309,109.000000,39,-29,38.601,-28.744
310,109.000000,39,-29,38.603,-28.739
311,109.000000,39,-29,38.607,-28.734
312,109.000000,39,-29,38.609,-28.730
313,109.000000,39,-29,38.609,-28.726
314,109.000000,39,-29,38.610,-28.723
315,109.000000,39,-29,38.610,-28.718
316,109.000000,39,-29,38.614,-28.716
317,109.000000,39,-29,38.617,-28.717
318,109.000000,39,-29,38.621,-28.715
319,109.000000,39,-29,38.625,-28.713
320,109.000000,39,-29,38.628,-28.709
321,109.000000,39,-29,38.632,-28.708
322,109.000000,39,-29,38.635,-28.704
323,109.000000,39,-29,38.640,-28.705
324,109.000000,39,-29,38.639,-28.701
325,109.000000,39,-29,38.640,-28.696
326,107.000000,39,-29,38.638,-28.707
327,107.000000,39,-29,38.635,-28.709
328,107.000000,39,-29,38.632,-28.711
329,107.000000,39,-29,38.629,-28.714
330,107.000000,39,-29,38.626,-28.716
331,107.000000,39,-29,38.623,-28.718
332,107.000000,39,-29,38.620,-28.720
333,107.000000,39,-29,38.617,-28.722
334,107.000000,39,-29,38.614,-28.727
335,107.000000,39,-29,38.613,-28.732
336,107.000000,39,-29,38.611,-28.736
337,107.000000,39,-29,38.608,-28.740
338,107.000000,39,-29,38.605,-28.746
339,107.000000,39,-29,38.603,-28.751
340,107.000000,39,-29,38.599,-28.754
341,107.000000,39,-29,38.595,-28.756
342,107.000000,39,-29,38.590,-28.755
343,107.000000,39,-29,38.586,-28.753
344,107.000000,39,-29,38.582,-28.753
345,107.000000,39,-29,38.576,-28.754
346,107.000000,39,-29,38.570,-28.753
347,107.000000,39,-29,38.566,-28.752
348,107.000000,39,-29,38.564,-28.747
349,107.000000,39,-29,38.561,-28.743
350,107.000000,39,-29,38.561,-28.737
351,107.000000,39,-29,38.560,-28.731
352,107.000000,39,-29,38.562,-28.725
353,107.000000,39,-29,38.561,-28.720
354,107.000000,39,-29,38.560,-28.715
355,107.000000,39,-29,38.558,-28.711
356,107.000000,39,-29,38.557,-28.705
357,107.000000,39,-29,38.555,-28.699
358,107.000000,39,-29,38.553,-28.695
359,107.000000,39,-29,38.551,-28.687
360,107.000000,39,-29,38.547,-28.688
361,107.000000,39,-29,38.545,-28.691
362,107.000000,39,-29,38.542,-28.695
363,107.000000,39,-29,38.538,-28.693
364,107.000000,39,-29,38.536,-28.689
365,107.000000,39,-29,38.534,-28.683
366,107.000000,39,-29,38.530,-28.679
367,107.000000,39,-29,38.528,-28.672
368,107.000000,39,-29,38.529,-28.666
369,107.000000,39,-29,38.531,-28.660
370,107.000000,39,-29,38.530,-28.655
371,107.000000,39,-29,38.528,-28.651
372,107.000000,39,-29,38.527,-28.646
373,106.000000,39,-29,38.523,-28.685
374,106.000000,39,-29,38.527,-28.684
375,106.000000,39,-29,38.531,-28.686
376,106.000000,39,-29,38.532,-28.689
377,106.000000,39,-29,38.533,-28.692
378,106.000000,39,-29,38.535,-28.696
379,106.000000,39,-29,38.537,-28.699
380,106.000000,39,-29,38.539,-28.702
381,106.000000,39,-29,38.540,-28.705
382,106.000000,39,-29,38.541,-28.709
383,106.000000,39,-29,38.542,-28.712
384,106.000000,39,-29,38.544,-28.716
385,106.000000,39,-29,38.546,-28.720
386,106.000000,39,-29,38.547,-28.724
387,106.000000,39,-29,38.549,-28.727
388,106.000000,39,-29,38.550,-28.730
389,106.000000,39,-29,38.553,-28.734
390,106.000000,39,-29,38.554,-28.737
391,106.000000,39,-29,38.555,-28.741
392,106.000000,39,-29,38.558,-28.744
393,106.000000,39,-29,38.560,-28.747
394,106.000000,39,-29,38.561,-28.750
395,106.000000,39,-29,38.564,-28.753
396,106.000000,39,-29,38.567,-28.755
397,106.000000,39,-29,38.570,-28.757
398,106.000000,39,-29,38.573,-28.757
399,106.000000,39,-29,38.577,-28.757
400,106.000000,39,-29,38.581,-28.758
401,106.000000,39,-29,38.585,-28.757
402,106.000000,39,-29,38.589,-28.759
403,106.000000,39,-29,38.592,-28.760
404,106.000000,39,-29,38.595,-28.762
405,106.000000,39,-29,38.599,-28.762
406,106.000000,39,-29,38.604,-28.759
407,106.000000,39,-29,38.608,-28.757
408,106.000000,39,-29,38.612,-28.752
409,104.000000,39,-29,38.519,-28.711
410,104.000000,39,-29,38.522,-28.711
411,104.000000,39,-29,38.525,-28.711
412,104.000000,39,-29,38.527,-28.713
413,104.000000,39,-29,38.529,-28.714
414,104.000000,39,-29,38.530,-28.716
415,104.000000,39,-29,38.531,-28.719
416,104.000000,39,-29,38.531,-28.721
417,104.000000,39,-29,38.531,-28.723
418,104.000000,39,-29,38.530,-28.726
419,104.000000,39,-29,38.530,-28.729
420,104.000000,39,-29,38.531,-28.730
421,104.000000,39,-29,38.531,-28.732
422,104.000000,39,-29,38.532,-28.734
423,104.000000,39,-29,38.534,-28.736
424,104.000000,39,-29,38.535,-28.738
425,104.000000,39,-29,38.537,-28.740
426,104.000000,39,-29,38.537,-28.743
427,104.000000,39,-29,38.534,-28.744
428,104.000000,39,-29,38.532,-28.744
429,104.000000,39,-29,38.530,-28.745
430,104.000000,39,-29,38.528,-28.747
431,104.000000,39,-29,38.526,-28.748
432,104.000000,39,-29,38.569,-28.786
433,104.000000,39,-29,38.570,-28.785
434,104.000000,39,-29,38.571,-28.784
435,104.000000,39,-29,38.572,-28.782
436,104.000000,39,-29,38.573,-28.781
437,104.000000,39,-29,38.575,-28.779
438,104.000000,39,-29,38.576,-28.778
439,104.000000,39,-29,38.578,-28.776
440,104.000000,39,-29,38.579,-28.775
441,104.000000,39,-29,38.581,-28.774
442,104.000000,39,-29,38.583,-28.774
443,104.000000,39,-29,38.585,-28.773
444,104.000000,39,-29,38.587,-28.773
445,104.000000,39,-29,38.588,-28.772
446,104.000000,39,-29,38.591,-28.771
447,104.000000,39,-29,38.592,-28.771
448,104.000000,39,-29,38.594,-28.771
449,104.000000,39,-29,38.596,-28.771
450,104.000000,39,-29,38.598,-28.771
451,104.000000,39,-29,38.600,-28.771
452,104.000000,39,-29,38.601,-28.771
453,104.000000,39,-29,38.603,-28.771
454,104.000000,39,-29,38.606,-28.771
455,104.000000,39,-29,38.607,-28.771
456,104.000000,39,-29,38.609,-28.771
457,104.000000,39,-29,38.611,-28.772
458,102.000000,39,-29,38.520,-28.718
459,102.000000,39,-29,38.521,-28.719
460,102.000000,39,-29,38.523,-28.720
461,102.000000,39,-29,38.524,-28.721
462,102.000000,39,-29,38.524,-28.722
463,102.000000,39,-29,38.525,-28.723
464,102.000000,39,-29,38.526,-28.724
465,102.000000,39,-29,38.526,-28.726
466,102.000000,39,-29,38.526,-28.727
467,102.000000,39,-29,38.526,-28.728
468,102.000000,39,-29,38.525,-28.729
469,102.000000,39,-29,38.524,-28.730
470,102.000000,39,-29,38.524,-28.731
471,102.000000,39,-29,38.522,-28.731
472,102.000000,39,-29,38.571,-28.789
473,102.000000,39,-29,38.571,-28.788
474,102.000000,39,-29,38.572,-28.787
475,102.000000,39,-29,38.573,-28.786
476,102.000000,39,-29,38.574,-28.785
477,102.000000,39,-29,38.576,-28.784
478,102.000000,39,-29,38.578,-28.784
479,102.000000,39,-29,38.579,-28.783
480,102.000000,39,-29,38.581,-28.783
481,102.000000,39,-29,38.582,-28.783
482,102.000000,39,-29,38.584,-28.782
483,102.000000,39,-29,38.586,-28.782
484,102.000000,39,-29,38.587,-28.782
485,102.000000,39,-29,38.589,-28.782
486,102.000000,39,-29,38.590,-28.781
487,102.000000,39,-29,38.592,-28.780
488,102.000000,39,-29,38.593,-28.780
489,102.000000,39,-29,38.595,-28.779
490,102.000000,39,-29,38.596,-28.779
491,102.000000,39,-29,38.598,-28.778
492,102.000000,39,-29,38.599,-28.778
493,102.000000,39,-29,38.601,-28.778
494,102.000000,39,-29,38.603,-28.778
495,102.000000,39,-29,38.604,-28.779
496,102.000000,39,-29,38.606,-28.779
497,102.000000,39,-29,38.607,-28.780
498,102.000000,39,-29,38.608,-28.780
499,102.000000,39,-29,38.610,-28.781
500,101.000000,39,-29,38.573,-28.794
501,101.000000,39,-29,38.575,-28.794
502,101.000000,39,-29,38.577,-28.794
503,101.000000,39,-29,38.579,-28.794
504,101.000000,39,-29,38.581,-28.794
505,101.000000,39,-29,38.583,-28.794
506,101.000000,39,-29,38.584,-28.794
507,101.000000,39,-29,38.586,-28.793
