id,AB (mGal),Latitud,Longitud,Latitud(º),Longitud(º)
325,109.000000,39,-29,38640,-28696
326,107.000000,39,-29,38638,-28707
327,107.000000,39,-29,38635,-28709
328,107.000000,39,-29,38632,-28711
329,107.000000,39,-29,38629,-28714
330,107.000000,39,-29,38626,-28716
331,107.000000,39,-29,38623,-28718
332,107.000000,39,-29,38620,-28720
333,107.000000,39,-29,38617,-28722
334,107.000000,39,-29,38614,-28727
335,107.000000,39,-29,38613,-28732
336,107.000000,39,-29,38611,-28736
337,107.000000,39,-29,38608,-28740
338,107.000000,39,-29,38605,-28746
339,107.000000,39,-29,38603,-28751
340,107.000000,39,-29,38599,-28754
341,107.000000,39,-29,38595,-28756
342,107.000000,39,-29,38590,-28755
343,107.000000,39,-29,38586,-28753
344,107.000000,39,-29,38582,-28753
345,107.000000,39,-29,38576,-28754
346,107.000000,39,-29,38570,-28753
347,107.000000,39,-29,38566,-28752
348,107.000000,39,-29,38564,-28747
349,107.000000,39,-29,38561,-28743
350,107.000000,39,-29,38561,-28737
351,107.000000,39,-29,38560,-28731
352,107.000000,39,-29,38562,-28725
353,107.000000,39,-29,38561,-28720
354,107.000000,39,-29,38560,-28715
355,107.000000,39,-29,38558,-28711
356,107.000000,39,-29,38557,-28705
357,107.000000,39,-29,38555,-28699
358,107.000000,39,-29,38553,-28695
359,107.000000,39,-29,38551,-28687
360,107.000000,39,-29,38547,-28688
361,107.000000,39,-29,38545,-28691
362,107.000000,39,-29,38542,-28695
363,107.000000,39,-29,38538,-28693
364,107.000000,39,-29,38536,-28689
365,107.000000,39,-29,38534,-28683
366,107.000000,39,-29,38530,-28679
367,107.000000,39,-29,38528,-28672
368,107.000000,39,-29,38529,-28666
369,107.000000,39,-29,38531,-28660
370,107.000000,39,-29,38530,-28655
371,107.000000,39,-29,38528,-28651
372,107.000000,39,-29,38527,-28646
373,106.000000,39,-29,38523,-28685
374,106.000000,39,-29,38527,-28684
375,106.000000,39,-29,38531,-28686
376,106.000000,39,-29,38532,-28689
377,106.000000,39,-29,38533,-28692
378,106.000000,39,-29,38535,-28696
379,106.000000,39,-29,38537,-28699
380,106.000000,39,-29,38539,-28702
381,106.000000,39,-29,38540,-28705
382,106.000000,39,-29,38541,-28709
383,106.000000,39,-29,38542,-28712
384,106.000000,39,-29,38544,-28716
385,106.000000,39,-29,38546,-28720
386,106.000000,39,-29,38547,-28724
387,106.000000,39,-29,38549,-28727
388,106.000000,39,-29,38550,-28730
389,106.000000,39,-29,38553,-28734
390,106.000000,39,-29,38554,-28737
391,106.000000,39,-29,38555,-28741
392,106.000000,39,-29,38558,-28744
393,106.000000,39,-29,38560,-28747
394,106.000000,39,-29,38561,-28750
395,106.000000,39,-29,38564,-28753
396,106.000000,39,-29,38567,-28755
397,106.000000,39,-29,38570,-28757
398,106.000000,39,-29,38573,-28757
399,106.000000,39,-29,38577,-28757
400,106.000000,39,-29,38581,-28758
401,106.000000,39,-29,38585,-28757
402,106.000000,39,-29,38589,-28759
403,106.000000,39,-29,38592,-28760
404,106.000000,39,-29,38595,-28762
405,106.000000,39,-29,38599,-28762
406,106.000000,39,-29,38604,-28759
407,106.000000,39,-29,38608,-28757
408,106.000000,39,-29,38612,-28752
409,104.000000,39,-29,38519,-28711
410,104.000000,39,-29,38522,-28711
411,104.000000,39,-29,38525,-28711
412,104.000000,39,-29,38527,-28713
413,104.000000,39,-29,38529,-28714
414,104.000000,39,-29,38530,-28716
415,104.000000,39,-29,38531,-28719
416,104.000000,39,-29,38531,-28721
417,104.000000,39,-29,38531,-28723
418,104.000000,39,-29,38530,-28726
419,104.000000,39,-29,38530,-28729
420,104.000000,39,-29,38531,-28730
421,104.000000,39,-29,38531,-28732
422,104.000000,39,-29,38532,-28734
423,104.000000,39,-29,38534,-28736
424,104.000000,39,-29,38535,-28738
425,104.000000,39,-29,38537,-28740
426,104.000000,39,-29,38537,-28743
427,104.000000,39,-29,38534,-28744
428,104.000000,39,-29,38532,-28744
429,104.000000,39,-29,38530,-28745
430,104.000000,39,-29,38528,-28747
431,104.000000,39,-29,38526,-28748
432,104.000000,39,-29,38569,-28786
433,104.000000,39,-29,38570,-28785
434,104.000000,39,-29,38571,-28784
435,104.000000,39,-29,38572,-28782
436,104.000000,39,-29,38573,-28781
437,104.000000,39,-29,38575,-28779
438,104.000000,39,-29,38576,-28778
439,104.000000,39,-29,38578,-28776
440,104.000000,39,-29,38579,-28775
441,104.000000,39,-29,38581,-28774
442,104.000000,39,-29,38583,-28774
443,104.000000,39,-29,38585,-28773
444,104.000000,39,-29,38587,-28773
445,104.000000,39,-29,38588,-28772
446,104.000000,39,-29,38591,-28771
447,104.000000,39,-29,38592,-28771
448,104.000000,39,-29,38594,-28771
449,104.000000,39,-29,38596,-28771
450,104.000000,39,-29,38598,-28771
451,104.000000,39,-29,38600,-28771
452,104.000000,39,-29,38601,-28771
453,104.000000,39,-29,38603,-28771
454,104.000000,39,-29,38606,-28771
455,104.000000,39,-29,38607,-28771
456,104.000000,39,-29,38609,-28771
457,104.000000,39,-29,38611,-28772
458,102.000000,39,-29,38520,-28718
459,102.000000,39,-29,38521,-28719
460,102.000000,39,-29,38523,-28720
461,102.000000,39,-29,38524,-28721
462,102.000000,39,-29,38524,-28722
463,102.000000,39,-29,38525,-28723
464,102.000000,39,-29,38526,-28724
465,102.000000,39,-29,38526,-28726
466,102.000000,39,-29,38526,-28727
467,102.000000,39,-29,38526,-28728
468,102.000000,39,-29,38525,-28729
469,102.000000,39,-29,38524,-28730
470,102.000000,39,-29,38524,-28731
471,102.000000,39,-29,38522,-28731
472,102.000000,39,-29,38571,-28789
473,102.000000,39,-29,38571,-28788
474,102.000000,39,-29,38572,-28787
475,102.000000,39,-29,38573,-28786
476,102.000000,39,-29,38574,-28785
477,102.000000,39,-29,38576,-28784
478,102.000000,39,-29,38578,-28784
479,102.000000,39,-29,38579,-28783
480,102.000000,39,-29,38581,-28783
481,102.000000,39,-29,38582,-28783
482,102.000000,39,-29,38584,-28782
483,102.000000,39,-29,38586,-28782
484,102.000000,39,-29,38587,-28782
485,102.000000,39,-29,38589,-28782
486,102.000000,39,-29,38590,-28781
487,102.000000,39,-29,38592,-28780
488,102.000000,39,-29,38593,-28780
489,102.000000,39,-29,38595,-28779
490,102.000000,39,-29,38596,-28779
491,102.000000,39,-29,38598,-28778
492,102.000000,39,-29,38599,-28778
493,102.000000,39,-29,38601,-28778
494,102.000000,39,-29,38603,-28778
495,102.000000,39,-29,38604,-28779
496,102.000000,39,-29,38606,-28779
497,102.000000,39,-29,38607,-28780
498,102.000000,39,-29,38608,-28780
499,102.000000,39,-29,38610,-28781
500,101.000000,39,-29,38573,-28794
501,101.000000,39,-29,38575,-28794
502,101.000000,39,-29,38577,-28794
503,101.000000,39,-29,38579,-28794
504,101.000000,39,-29,38581,-28794
505,101.000000,39,-29,38583,-28794
506,101.000000,39,-29,38584,-28794
507,101.000000,39,-29,38586,-28793
508,101.000000,39,-29,38588,-28792
509,101.000000,39,-29,38590,-28790
510,101.000000,39,-29,38592,-28789
511,101.000000,39,-29,38594,-28789
512,101.000000,39,-29,38595,-28790
513,101.000000,39,-29,38597,-28790
514,101.000000,39,-29,38598,-28790
515,101.000000,39,-29,38600,-28789
516,101.000000,39,-29,38601,-28790
517,101.000000,39,-29,38602,-28791
518,101.000000,39,-29,38603,-28792
519,101.000000,39,-29,38605,-28792
520,101.000000,39,-29,38607,-28792
521,101.000000,39,-29,38608,-28793
522,101.000000,39,-29,38609,-28794
523,101.000000,39,-29,38610,-28795
524,101.000000,39,-29,38611,-28797
525,95.000000,39,-29,38578,-28803
526,95.000000,39,-29,38580,-28803
527,95.000000,39,-29,38581,-28803
528,95.000000,39,-29,38583,-28803
529,95.000000,39,-29,38585,-28802
530,29.000000,39,-29,38587,-28801
531,95.000000,39,-29,38588,-28799
532,95.000000,39,-29,38590,-28797
533,95.000000,39,-29,38591,-28795
534,95.000000,39,-29,38593,-28794
535,95.000000,39,-29,38595,-28793
536,95.000000,39,-29,38597,-28794
537,95.000000,39,-29,38598,-28796
538,95.000000,39,-29,38600,-28798
539,95.000000,39,-29,38601,-28800
540,95.000000,39,-29,38602,-28802
541,95.000000,39,-29,38604,-28804
542,95.000000,39,-29,38605,-28805
543,95.000000,39,-29,38607,-28805
544,95.000000,39,-29,38610,-28805
545,93.000000,39,-29,38595,-28799
546,93.000000,39,-29,38593,-28801
547,93.000000,39,-29,38592,-28803
548,93.000000,39,-29,38592,-28805
549,93.000000,39,-29,38592,-28807
550,93.000000,39,-29,38591,-28809
551,93.000000,39,-29,38590,-28811
552,93.000000,39,-29,38587,-28811
553,93.000000,39,-29,38585,-28810
554,93.000000,39,-29,38582,-28809
555,93.000000,39,-29,38580,-28809
556,93.000000,39,-29,38597,-28800
557,93.000000,39,-29,38597,-28802
558,93.000000,39,-29,38598,-28803
559,93.000000,39,-29,38599,-28805
560,93.000000,39,-29,38601,-28807
561,93.000000,39,-29,38601,-28809
562,93.000000,39,-29,38603,-28810
563,93.000000,39,-29,38605,-28811
564,93.000000,39,-29,38606,-28811
565,93.000000,39,-29,38608,-28811
566,93.000000,39,-29,38610,-28811
567,91.000000,39,-29,38582,-28813
568,91.000000,39,-29,38584,-28813
569,91.000000,39,-29,38585,-28813
570,91.000000,39,-29,38587,-28814
571,91.000000,39,-29,38588,-28815
572,91.000000,39,-29,38590,-28815
573,91.000000,39,-29,38592,-28813
574,91.000000,39,-29,38593,-28811
575,91.000000,39,-29,38594,-28809
576,91.000000,39,-29,38594,-28807
578,91.000000,39,-29,38597,-28807
579,91.000000,39,-29,38598,-28808
580,91.000000,39,-29,38599,-28810
581,91.000000,39,-29,38600,-28811
582,91.000000,39,-29,38602,-28813
583,91.000000,39,-29,38603,-28814
584,91.000000,39,-29,38605,-28816
585,91.000000,39,-29,38606,-28816
585,89.000000,39,-29,38588,-28820
586,89.000000,39,-29,38590,-28820
587,89.000000,39,-29,38592,-28819
588,89.000000,39,-29,38594,-28819
589,89.000000,39,-29,38595,-28817
590,89.000000,39,-29,38597,-28816
591,89.000000,39,-29,38598,-28814
592,89.000000,39,-29,38600,-28815
593,89.000000,39,-29,38601,-28816
594,89.000000,39,-29,38602,-28817
595,89.000000,39,-29,38604,-28819
596,89.000000,39,-29,38605,-28820
597,87.000000,39,-29,38592,-28824
598,87.000000,39,-29,38593,-28823
599,87.000000,39,-29,38595,-28823
600,87.000000,39,-29,38597,-28822
601,87.000000,39,-29,38599,-28821
602,87.000000,39,-29,38601,-28820
603,87.000000,39,-29,38603,-28821
604,87.000000,39,-29,38604,-28821
605,87.000000,39,-29,38605,-28822
