Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal
-155.44629,19.714408,2158.0,978460.44,977954.4488874313,505.99111256864853,270.7302685686485,290.0849721807505
-155.450791,19.736072,2464.3,978389.44,977861.2296620732,528.2103379267501,259.55728052675005,286.1169835721697
-155.126457,19.588577,503.8,978765.44,978457.6402519463,307.7997480536578,252.8764796536578,264.9697906564519
-155.189795,19.575244,833.6,978705.69,978355.0934101081,350.5965898918221,259.71918509182206,274.42988918065174
-155.249792,19.563247,1213.1,978630.69,978237.303470852,393.3865291479742,261.1367933479742,274.82511375450946
-155.299795,19.551914,1578.3,978554.94,978123.9840807148,430.95591928518843,258.8928098851884,274.71501168102526
-155.334295,19.582414,1748.0,978519.38,978073.3701015144,446.00989848561585,255.44643448561584,272.45048073773285
-155.362461,19.594747,1876.0,978494.88,978034.5891541285,460.29084587155376,255.77307787155374,273.9185333162075
-155.400288,19.594413,2115.3,978445.56,977960.7602607174,484.79973928269465,254.19396388269462,273.52634583741707
-155.453449,19.583581,2528.0,978359.44,977832.8689328694,526.5710671305424,250.97356313054235,274.96628697278754
-155.136445,19.906892,56.7,978887.88,978613.9174429203,273.96255707973614,267.78123647973615,284.4885609793882
-155.411281,20.059721,237.1,978860.19,978567.0821056957,293.10789430420846,267.25972650420846,283.6230632319755
-155.669275,20.021059,813.8,978765.06,978386.836950534,378.22304946603253,289.5042010660325,299.87501948215595
-155.687617,19.935232,786.7,978739.5,978390.2280280401,349.27197195985354,263.50751135985354,273.3990894192368
-155.66328,19.879734,1219.2,978634.25,978253.5600027995,380.6899972005049,247.77525160050487,261.52509850657145
-155.615615,19.781072,1691.6,978536.38,978102.1352671388,434.24473286117427,249.82988406117428,265.09413808158615
-155.398125,19.335261,858.3,978710.19,978333.8734464276,376.3165535723092,282.7464041723092,301.3209746665967
-155.439798,19.2661,564.8,978752.38,978420.5636045751,331.81639542488847,270.2430290248885,286.51956651811355
-155.476634,19.198604,252.4,978804.56,978513.2058708612,291.3541291388683,263.8379859388683,280.7802189498192
-155.586467,19.060281,205.4,978802.19,978519.9889733995,282.2010266004363,259.8087294004363,280.3258516256745
-155.841274,19.816573,666.9,978696.94,978420.3561499165,276.583850083407,203.879745883407,215.38116304401981
-155.960276,19.761412,626.1,978710.69,978429.7781280007,280.91187199926935,212.65570219926934,231.91956046134442
-155.949446,19.610088,367.0,978780.38,978501.0922738399,279.28772616013885,239.27812016013885,262.16165425258026
-155.92012,19.516259,477.6,978759.0,978461.6124979361,297.3875020638807,245.32050526388068,268.50157717866733
-155.877292,19.355268,266.1,978781.06,978517.7840843868,263.27591561328154,234.26622581328155,264.5839798952202
-155.868459,19.210276,524.6,978718.44,978429.838406106,288.60159389395267,231.41075109395265,257.73410566179683
-155.791619,19.091947,595.9,978714.0,978401.2160009912,312.78399900882505,247.82017280882505,267.35811317203485
-155.489291,19.575249,2735.6,978315.5,977768.3810919668,547.1189080332406,248.88926723324056,275.1074248883912
-155.507953,19.569417,2837.7,978294.0,977736.5688331185,557.4311668814626,248.07078828146257,275.6521850073295
-155.54079,19.552418,3116.3,978237.19,977649.709128908,587.480871091946,247.74807769194598,280.1115114093342
-155.564792,19.522753,3587.5,978143.13,977502.7772641302,640.3527358698193,249.25066086981928,289.8976589659496
-155.580615,19.509254,3810.0,978096.25,977433.4370267137,662.812973286258,247.45439328625804,293.8232072690495
-155.57729,19.493588,3968.5,978075.25,977383.7029881518,691.5470118481899,258.90907884818984,308.2090806010107
