Longitude,Latitude,Elevation_m,ObsGravity_mGal,NormalGravity_mGal,FreeAir_mGal,Bouguer_Simple_2.6_mGal,Bouguer_Completa_2.6_mGal,Bouguer_Completa_2.3_mGal,Bouguer_Completa_2.8_mGal,Bouguer_Completa_2.9_mGal
-155.482615,20.097386,136.9,978882.56,978600.2050436019,282.354956398136,267.43039219813596,310.2767971920955,305.65341420854287,313.3590525144639,314.9001801756481
-155.429943,20.033222,622.4,978782.88,978446.6136681468,336.2663318532286,268.41352865322864,316.4173901343556,317.9987647011478,315.3631404231608,314.83601556756344
-155.292448,19.984223,548.0,978786.5,978466.7344457147,319.765554285259,260.02369028525897,301.65933305074293,302.8196010474811,300.8858210529175,300.4990650540048
-155.251952,19.963557,474.9,978801.81,978488.1000449616,313.7099550385028,261.9373068385028,350.7050880295208,343.6408781564803,355.4145612782144,357.7692979025612
-155.105628,19.621907,335.3,978792.25,978511.5516949362,280.69830506376456,244.14456966376457,327.6337147579505,321.63346674912384,331.63388009716823,333.6339627667772
-155.077461,19.645239,175.3,978822.56,978562.2747013544,260.2852986456128,241.1744432456128,281.99613604866715,278.825878075964,284.10964136380255,285.16639402137025
-155.297629,19.526917,1558.1,978559.94,978128.7942689391,431.1457310608821,261.28478526088213,287.93447485555475,303.8025913892328,277.3557304997696,272.0663583218767
-155.43195,19.585747,2368.9,978392.38,977882.0548308728,510.32516912720166,252.07242892720166,290.98612899346347,315.62061901382765,274.56313564655454,266.35163897309974
-155.57645,19.536252,3397.3,978178.81,977562.1689408108,616.64105918922,246.27420778921993,366.7914852965738,394.77843295775983,348.1335201891162,338.80453763538793
-155.46828,19.60158,2399.4,978385.5,977873.5516920323,511.94830796774477,250.37051876774473,269.1486274881505,296.5048271346466,250.91116105715264,241.7924278416541
-155.481447,19.636911,2149.1,978444.56,977952.7605333598,491.7994666402228,257.5088828402228,297.75828921373113,319.53907245213077,283.2377670547982,275.9775059753315
-155.532793,19.629912,2243.3,978414.06,977923.3085182265,490.7514817735646,246.19140237356456,276.9525418909493,301.00564490976683,260.91713987840444,252.89943887213187
-155.595124,19.621915,2272.3,978392.25,977913.9083395599,478.3416604400845,230.6200590400845,254.91199416840578,280.06271012267365,238.1448501988939,229.76127821413792
