X,Y,fid,Bouguer_mG
-158.009911031103,21.3184203553119,1354,210
-158.009018824612,21.3234072109458,1355,210
-158.008126618121,21.328809446691,1356,210
-158.007011360008,21.3350425484978,1357,210
-158.005003895403,21.340859871239,1358,210
-158.002327275931,21.3462614643062,1359,210
-157.998312346722,21.3518706003136,1360,210
-157.994297417513,21.3570640533693,1361,210
-157.9882750237,21.3641268541204,1362,210
-157.981583475018,21.3689044379991,1363,210
-157.975338029582,21.3728510201625,1364,210
-157.969092584146,21.3753435435596,1365,210
-157.96284713871,21.3770052022472,1366,210
-157.957047796519,21.3782514338841,1367,210
-157.952363712442,21.3786668420717,1368,210
-157.947010473497,21.3763820824498,1369,210
-157.941880286175,21.3726433079639,1370,210
-157.93652704723,21.3682812837233,1371,210
-157.932066014775,21.3637114046788,1372,210
-157.928051085566,21.358725919473,1373,210
-157.922474794998,21.3541557423334,1374,210
-157.915560194694,21.3504164004774,1375,210
-157.910206955749,21.3466769632227,1376,210
-157.904184561936,21.3433529389196,1377,210
-157.899723529482,21.3379512387099,1378,210
-157.895039445405,21.3325493395526,1379,210
-157.89057841295,21.3283938971555,1380,210
-157.886786535364,21.324861678593,1381,210
-157.883440761023,21.3200826593462,1382,210
-157.878979728569,21.3163424488018,1383,210
-157.873180386378,21.3113553532052,1384,210
-157.867381044188,21.3051212455694,1385,210
-157.864704424715,21.3013806540039,1386,210
-157.861135598752,21.2972243294743,1387,210
-157.949464041347,21.3774206139718,1388,210
-157.959724415992,21.3778360245174,1389,210
-157.965746809805,21.3767974959428,1390,210
-157.945226060516,21.3749281259405,1391,210
-157.93987282157,21.3709815997662,1392,210
-157.93407347938,21.365373195375,1393,210
-157.930058550171,21.3612186832842,1394,210
-157.925374466094,21.3562331132491,1395,210
-157.858682030902,21.2932757123006,1396,210
-157.856451514675,21.2907817941741,1397,210
-157.853997946825,21.2880800017987,1398,210
-157.850875224107,21.2853781597804,1399,210
-157.847529449766,21.2824684282487,1400,210
-157.843291468935,21.2793507948746,1401,210
-157.83883043648,21.2768566406041,1402,210
-157.834592455649,21.2745702953798,1403,210
-157.830354474817,21.2724917688938,1404,210
-157.825413086189,21.2695505051961,1405,210
-157.820274942772,21.2678404401275,1406,210
-157.813485253258,21.264591261766,1407,210
-157.808714120085,21.2623680984114,1408,210
-157.801740925449,21.2592898168125,1409,210
-157.795685256422,21.2577506518827,1410,210
-157.787060515688,21.2565535124828,1411,210
-157.780637836417,21.255869428457,1412,210
-157.772196600805,21.2556984069541,1413,210
-157.762103819094,21.2574086130471,1414,210
-157.753662583481,21.259631851279,1415,210
-157.743753306892,21.2623680984114,1416,210
-157.735495576402,21.26373620291,1417,210
-157.727788361277,21.265446315656,1418,210
-157.719163620542,21.2671564085374,1419,210
-157.709988364442,21.2702345256606,1420,210
-157.703749190293,21.2726285722518,1421,210
-157.697326511023,21.2746805811897,1422,210
-157.69255537785,21.2763905667792,1423,210
-157.688334760044,21.2772455521217,1424,210
-157.683930637116,21.2784425232542,1425,210
-157.679159503943,21.2801524651214,1426,210
-157.674204865649,21.2808364363032,1427,210
-157.670534763209,21.2815204043047,1428,210
-158.000487234178,21.3065694350321,1429,205
-158.000872594935,21.3101596029949,1430,205
-158.000101873422,21.3153651906675,1431,205
-157.99933115191,21.32146805845,1432,205
-157.996366554898,21.3266607590154,1433,205
-157.994828797406,21.3306275041035,1434,205
-157.992344727612,21.3355857846561,1435,205
-157.989505790704,21.339001391545,1436,205
-157.98536567438,21.3425270958661,1437,205
-157.981462136132,21.344950968414,1438,205
-157.977913464997,21.3472646275567,1439,205
-157.974601371938,21.3493579067462,1440,205
-157.971052700804,21.3511206449836,1441,205
-157.967504029669,21.3524426847495,1442,205
-157.958632351832,21.3558578989472,1443,205
-157.950115541109,21.3581713859234,1444,205
-157.944201089218,21.3588323754931,1445,205
-157.941598730386,21.3588323754931,1446,205
-157.939114660592,21.3578408900204,1447,205
-157.937103746949,21.3562985659493,1448,205
-157.935211122344,21.3542053858867,1449,205
-157.933318497738,21.352112175926,1450,205
-157.930952716982,21.3501291073335,1451,205
-157.928586936226,21.3482561845831,1452,205
-157.925274843167,21.3464934118995,1453,205
-157.921962750108,21.344400091808,1454,205
-157.918414078973,21.3425270958661,1455,205
-157.9147471188,21.3405438976155,1456,205
-157.910607002477,21.3373486884663,1457,205
-157.907413198455,21.3344839590156,1458,205
-157.904101105396,21.3308478756864,1459,205
-157.900907301375,21.3275422671907,1460,205
-157.897739737538,21.3247855651721,1461,205
-157.894013632846,21.3216616380357,1462,205
-157.890039121175,21.3176120039112,1463,205
-157.885567795546,21.3134465494228,1464,205
-157.882214301324,21.3092809767798,1465,205
-157.878985010591,21.3048838552719,1466,205
-157.87488629543,21.3002551641397,1467,205
-157.871035987249,21.2957420499105,1468,205
-157.866937272089,21.2909973445102,1469,205
-157.862465946459,21.2868311354666,1470,205
-157.858864045257,21.2838221333041,1471,205
-157.855137940566,21.2810445382065,1472,205
-157.850169800977,21.2775724705793,1473,205
-157.845450068368,21.2745632790216,1474,205
-157.841488194014,21.2721379809298,1475,205
-157.838209627395,21.2701795124289,1476,205
-157.834594797533,21.2679076563192,1477,205
-157.830475572807,21.2658707899964,1478,205
-157.827281071999,21.2643822929379,1479,205
-157.823582176326,21.2628937808301,1480,205
-157.818538227682,21.2608568451391,1481,205
-157.814250871334,21.2592899523567,1482,205
-157.81038384404,21.258114771829,1483,205
-157.806853079989,21.2569395819238,1484,205
-157.803070118506,21.2555293416599,1485,205
-157.800211880941,21.2541190878937,1486,205
-157.984950390738,21.3123164279371,1487,200
-157.984713812662,21.3152917875271,1488,200
-157.983057766133,21.3189282562649,1489,200
-157.980810274414,21.3223442509101,1490,200
-157.978089626544,21.3257601660608,1491,200
-157.97513300683,21.3291634817123,1492,200
-157.971298845103,21.3320972218751,1493,200
-157.96719081468,21.3349033532251,1494,200
-157.961302637742,21.3373267871023,1495,200
-157.954592854719,21.3380920736923,1496,200
-157.946239859527,21.3388573562892,1497,200
-157.940625551283,21.3388573562892,1498,200
-157.934600439997,21.338347168335,1499,200
-157.929944672185,21.3369441423099,1500,200
-157.925288904373,21.3354135531581,1501,200
-157.920633136561,21.3329900876723,1502,200
-157.916798974834,21.3306941360724,1503,200
-157.912417075717,21.3273776981118,1504,200
-157.909130651379,21.3248265409854,1505,200
-157.905570358346,21.3227855833552,1506,200
-157.901051524882,21.3199792202767,1507,200
-157.897491231849,21.31717280355,1508,200
-157.894341741859,21.314621469067,1509,200
-157.890918383174,21.3111770971999,1510,200
-157.888590499268,21.3082429389323,1511,200
-157.885441009277,21.30543629792,1512,200
-157.883113125371,21.3023744465731,1513,200
-157.880100569728,21.2993125314229,1514,200
-157.877088014085,21.2956126321673,1515,200
-157.949937086907,21.3384747154899,1516,200
-157.957879279057,21.3380920736923,1517,200
-157.963356652953,21.3363063987709,1518,200
-157.973489794661,21.3306941360724,1519,200
-157.976776218999,21.32699502737,1520,200
-157.9793779716,21.3240611851999,1521,200
-157.981705855506,21.3207445973461,1522,200
-157.983896805064,21.3167901062036,1523,200
-157.965273733817,21.3357962019434,1524,200
-157.955761829441,21.3101383166919,1525,195
-157.955113051546,21.3122969399805,1526,195
-157.953722813201,21.3146282174958,1527,195
-157.951127701624,21.3169594580009,1528,195
-157.948625272602,21.318599938391,1529,195
-157.945474065687,21.3198087016861,1530,195
-157.943249684335,21.3199813813444,1531,195
-157.940747255314,21.3199813813444,1532,195
-157.938152143736,21.3198087016861,1533,195
-157.93500093682,21.3196360218247,1534,195
-157.931015586898,21.3187726194711,1535,195
-157.927308284644,21.3179092120398,1536,195
-157.923693664947,21.3169594580009,1537,195
-157.92007904525,21.3154053017765,1538,195
-157.916835155778,21.313419411552,1539,195
-157.914518091869,21.3116925286577,1540,195
-157.912386393074,21.3097929340216,1541,195
-157.910069329165,21.3077206209452,1542,195
-157.654440442684,21.2946877459949,1543,220
-157.661068807017,21.2935520323792,1544,220
-157.666223777889,21.292932282448,1545,220
-157.671877616909,21.2927773445569,1546,220
-157.669216986782,21.2926224065026,1547,220
-157.657909308741,21.294326716119,1548,220
-157.675702272717,21.2920026526523,1549,220
-157.680857243589,21.2918477137815,1550,220
-157.685347056929,21.2921575913598,1551,220
-157.689836870269,21.2920026526523,1552,220
-157.693162657928,21.2912279566655,1553,220
-157.696987313736,21.2898334936026,1554,220
-157.701809705842,21.2885939597773,1555,220
-157.707130966096,21.2867346394475,1556,220
-157.711485685436,21.2845880668463,1557,220
-157.715795096073,21.2828480234462,1558,220
-157.720822741817,21.2805725510166,1559,220
-157.726568622666,21.2789663139915,1560,220
-157.732027209473,21.2776277697405,1561,220
-157.736192973089,21.2765569255715,1562,220
-157.74093332479,21.2760215005643,1563,220
-157.750557675213,21.2737459225477,1564,220
-157.760469319678,21.272139610996,1565,220
-157.769950023079,21.2718718906995,1566,220
-157.778856138396,21.2718718906995,1567,220
-157.785463901373,21.272139610996,1568,220
-157.793364487541,21.2736120639214,1569,220
-157.799254015412,21.2750845021135,1570,220
-157.804712602219,21.2769584930482,1571,220
-157.809596600941,21.2788324601144,1572,220
-157.814336952641,21.2815095145153,1573,220
-157.817928128172,21.2840526710696,1574,220
-157.822524832852,21.2876665547379,1575,220
-157.826116008383,21.290209604822,1576,220
-157.828988948808,21.2922172448722,1577,220
-157.832323834089,21.2944899214966,1578,220
-157.835607194574,21.2964019045907,1579,220
-157.838206521625,21.2980589364877,1580,220
-157.841489882111,21.3004807187312,1581,220
-157.845183662657,21.3025200833493,1582,220
-157.84942466995,21.3067261834811,1583,220
-157.853665677244,21.309657636602,1584,220
-157.857633071164,21.3134811831847,1585,220
-157.861463658397,21.316794843033,1586,220
-157.864883825569,21.3203633161609,1587,220
-157.868577606115,21.3236768206831,1588,220
-157.871860966601,21.3267353738508,1589,220
-157.874733907025,21.330303605315,1590,220
-157.878290880884,21.3338717500058,1591,220
-157.882412550605,21.3382436159738,1592,220
-157.885572048881,21.3425804720172,1593,220
-157.887650666168,21.3452135006104,1594,220
-157.888814691849,21.3481562413158,1595,220
-157.889729283455,21.3505568544554,1596,220
-157.89056073037,21.3532671768747,1597,220
-157.890727019753,21.3563646268356,1598,220
-157.889729283455,21.3596168788273,1599,220
-157.890394440987,21.3583779341999,1600,220
-157.887650666168,21.3610106790096,1601,220
-157.884408023201,21.363411081571,1602,220
-157.882911418754,21.3650371383766,1603,220
-157.882412550605,21.3674374749528,1604,220
-157.885904627647,21.3622496013724,1605,220
-157.882217766797,21.3695337797528,1606,220
-157.882543497004,21.3722637797266,1607,220
-157.902135814119,21.3605074863277,1608,220
-157.90496273363,21.3608946520214,1609,220
-157.906293048693,21.362365872326,1610,220
-157.907457074374,21.3645339595262,1611,220
-157.907706508448,21.3665471546191,1612,220
-157.907457074374,21.3687151799244,1613,220
-157.906376193385,21.3707283175389,1614,220
-157.904796444247,21.3719671576985,1615,220
-157.902634682268,21.3725091469723,1616,220
-157.900389775598,21.3725091469723,1617,220
-157.89822801362,21.371502593867,1618,220
-157.896897698556,21.369644323801,1619,220
-157.896232541024,21.3671665936957,1620,220
-157.896980843247,21.3651534071175,1621,220
-157.897812290162,21.3633724882313,1622,220
-157.898976315843,21.361746412946,1623,220
-157.900556064981,21.3607397858667,1624,220
-157.903466129183,21.360662352728,1625,220
-157.882679956313,21.3743673806784,1626,220
-157.883428258536,21.3758384656346,1627,220
-157.884342850143,21.3780063533605,1628,220
-157.88534058644,21.3796322480836,1629,220
-157.886255178047,21.3814129691986,1630,220
-157.888229881962,21.3844790730163,1631,220
-157.890402876549,21.3881885815767,1632,220
-157.893300202663,21.3920666035918,1633,220
-157.895654280132,21.3952701094435,1634,220
-157.898913772011,21.3989793443377,1635,220
-157.902354346773,21.4030256750846,1636,220
-157.905613838652,21.4069033036181,1637,220
-157.90959766206,21.4102750708924,1638,220
-157.913219319704,21.4133095949202,1639,220
-157.915754480054,21.416512635241,1640,220
-157.919376137698,21.4197156053304,1641,220
