Site,LatitudeOH,LongitudeOH,LatitudeWGS84,LongitudeWGS84,elevation,ObsGravity
GS0255,19.735001,-155.127502,19.731902,-155.124791,251.5,978805.56
GS0256,19.771667,-155.144165,19.768567,-155.141453,433.4,978775.69
GS0257,19.8125,-155.14267,19.809397,-155.139957,438.9,978789
GS0258,19.861668,-155.159164,19.858563,-155.15645,388.6,978801.5
GS0259,19.905001,-155.182663,19.901894,-155.179948,449.6,978802.81
GS0260,20.015167,-155.519669,20.012058,-155.516949,1027.8,978712.94
GS0261,19.991667,-155.522339,19.98856,-155.519619,1172,978681.69
GS0262,19.952168,-155.586334,19.949064,-155.583614,1152.1,978679.44
GS0264,19.936001,-155.589661,19.932898,-155.586941,1222.2,978659.56
GS0265,19.988832,-155.617828,19.985726,-155.615107,937.3,978735.44
GS0266,20.006332,-155.642838,20.003226,-155.640116,865.6,978754.5
GS0267,19.700001,-155.119003,19.696904,-155.116292,193.5,978814.25
GS0268,19.688334,-155.143997,19.685238,-155.141286,342.3,978783.06
GS0269,19.700001,-155.242493,19.696906,-155.239781,914.4,978674.19
GS0270,19.679167,-155.335999,19.676075,-155.333286,1524,978573.69
GS0271,19.673,-155.367996,19.669909,-155.365283,1689.8,978546.25
GS0272,19.685333,-155.402832,19.682241,-155.400118,1828.8,978524
GS0273,19.688499,-155.438339,19.685408,-155.435625,1943.1,978504.25
GS0274,19.768667,-155.463333,19.765572,-155.460617,2938.3,978293.88
GS0275,19.731001,-155.410004,19.727907,-155.40729,2112.3,978460.75
GS0276,19.719667,-155.377502,19.716573,-155.374788,1738.9,978534.06
GS0277,19.735332,-155.392838,19.732237,-155.390124,2053.4,978468.75
GS0278,19.759167,-155.37233,19.756071,-155.369616,2051,978463.06
GS0279,19.7885,-155.345001,19.785402,-155.342286,2005.3,978466.63
GS0280,19.822166,-155.339493,19.819066,-155.336778,2010.5,978466
GS0281,19.849667,-155.339996,19.846565,-155.33728,1957.7,978484.13
