longitude,latitude,AB (mGal)
55.28958944202653,-21.111921444550276,242.5
55.293594058117925,-21.121084316646577,242.5
55.29717347719794,-21.130270370235014,242.5
55.30117569244867,-21.138992788384517,242.5
55.30882479052355,-21.145409948517447,242.5
55.31505506223425,-21.15311698900291,242.5
55.32139773288094,-21.160847823525433,242.5
55.326811012612325,-21.16923590873906,242.5
55.32985659525037,-21.17865071143158,242.5
55.330973924427056,-21.188339254781933,242.5
55.33694065040253,-21.1962374754527,242.5
55.34373814321441,-21.20355490326788,242.5
55.35002210665214,-21.21133383658249,242.5
55.35630607008988,-21.219112769897105,242.5
55.36288641166238,-21.226630599602792,242.5
55.36981683881289,-21.233838638580494,242.5
55.37794196807098,-21.239648528654527,242.5
55.38676978797953,-21.244330520335613,242.5
55.396154997050424,-21.244827641565177,242.5
55.365916405876895,-21.210014156445126,240.0
55.37454148579376,-21.205289990710924,240.0
55.38205912611433,-21.198795946911297,240.0
55.38990315908017,-21.192631466992555,240.0
55.39799807496261,-21.186796002470718,240.0
55.40465490998402,-21.179626431733134,240.0
55.406916800078186,-21.16994985070497,240.0
55.40562563536516,-21.1601295077556,240.0
55.402047596040994,-21.150938823018734,240.0
55.39622238188912,-21.142818182238976,240.0
55.39138601553713,-21.13411275701131,240.0
55.388218740609204,-21.12466686358312,240.0
55.38748457498128,-21.114759406384525,240.0
55.38789731161448,-21.104769771667698,240.0
55.39055872551744,-21.095131029747343,240.0
55.39543977218851,-21.086412901041314,240.0
55.398588310165856,-21.076921499216226,240.0
55.400824206335116,-21.06718915349095,240.0
55.40208826069969,-21.057278933894256,240.0
55.40036987989118,-21.047427681821706,240.0
55.39930937273001,-21.037489206745075,240.0
55.39764843495376,-21.027657163828007,240.0
55.39469638706131,-21.018108550543154,240.0
55.392614806371725,-21.00834838284455,240.0
55.38944121195083,-21.00030835958256,240.0
55.39550629188288,-20.99236896540159,240.0
55.40268138220442,-20.98549628420849,240.0
55.41155806888173,-20.981272415734335,240.0
55.41979532682391,-20.976409169780794,240.0
55.4273871523828,-20.970303217418344,240.0
55.436406586821874,-20.96598683237456,240.0
55.445146121679386,-20.961251273721935,240.0
55.45240352496441,-20.95452903121866,240.0
55.45619969954551,-20.945278741702953,240.0
55.45304505642855,-20.936366985901493,240.0
55.44798936941883,-20.927760829517343,240.0
55.443930536516284,-20.91863680244497,240.0
55.44240530881798,-20.908841079031173,240.0
55.438698228752976,-20.899553584353292,240.0
55.43447637403866,-20.89052392984325,240.0
