longitude,latitude,Bouguer_mG
55.477405518986934,-21.116913484368286,315.0
55.471419187705564,-21.12219082775108,315.0
55.464174427314795,-21.125575612735712,315.0
55.456345139631864,-21.12594393897018,315.0
55.449662245085534,-21.12197474893724,315.0
55.446391671789016,-21.114710878356433,315.0
55.44622012153479,-21.106887594450154,315.0
55.44981476282011,-21.09977911022336,315.0
55.455103647462046,-21.093827552054215,315.0
55.46115175690098,-21.08859148255863,315.0
55.46727261215815,-21.083460477349572,315.0
55.4664657495387,-21.07748201071649,312.5
55.47067597585943,-21.071010053056156,312.5
55.47384819325892,-21.06390708973201,312.5
55.47984228842841,-21.058689031243794,312.5
55.48578092664262,-21.05334402554247,312.5
55.4923925910631,-21.049050177276836,312.5
55.49997291256921,-21.046537610346753,312.5
55.50795947316697,-21.046092061219838,312.5
55.51538580916139,-21.0482302425947,312.5
55.520618471111455,-21.053863562704883,312.5
55.52283483654618,-21.061545403805134,312.5
55.524628999155986,-21.069339181211568,312.5
55.524533250359646,-21.07702198898052,312.5
55.51990350039483,-21.083404595346373,312.5
55.513505622116014,-21.087723312410816,312.5
55.50716038387321,-21.091690377367804,312.5
55.50141824083731,-21.09723139266623,312.5
55.495981296699796,-21.103075089571455,312.5
55.49079071508243,-21.109131609277078,312.5
55.48509059970039,-21.114662577188607,312.5
55.479160693990345,-21.119948703295222,312.5
55.472489797762286,-21.124341651297545,312.5
55.465901574558536,-21.128667626133954,312.5
55.45800863863666,-21.129536244650264,312.5
55.45059337367041,-21.127761872696357,312.5
55.446040279199,-21.121194039014902,312.5
55.443601896353,-21.113691139247486,312.5
55.44318700355194,-21.10750680369872,312.5
55.44598072547351,-21.1000418444345,312.5
55.450210894893544,-21.093259623951813,312.5
55.45545046493581,-21.087231376534515,312.5
55.46117432492509,-21.08164233128303,312.5
55.46186372815433,-21.08098350371511,312.5
55.44640068937342,-21.127035501566063,310.0
55.44215809093368,-21.12034879035922,310.0
55.44027802931881,-21.112588762863044,310.0
55.440812619821465,-21.104666144694296,310.0
55.44392332896063,-21.09733013982659,310.0
55.448170340655444,-21.090566602230084,310.0
55.452988972772765,-21.084187916830867,310.0
55.457984354022024,-21.07793925126951,310.0
55.4625566166766,-21.071384822358286,310.0
55.46638753998261,-21.064424499695274,310.0
55.472003965923015,-21.058727504025978,310.0
55.47781832481258,-21.05323584396372,310.0
55.483789397597086,-21.047923282013663,310.0
55.49077205406275,-21.04420382676524,310.0
55.498528966274556,-21.04239096858072,310.0
55.50651149118326,-21.042101182371038,310.0
55.514399194623806,-21.043401618169703,310.0
55.521104336433964,-21.047514575736795,310.0
55.52386395460339,-21.054926101651827,310.0
55.525225018423484,-21.06280914759661,310.0
55.52724832571577,-21.070546989134844,310.0
55.52808818281653,-21.07837936348312,310.0
55.52382145702026,-21.085135568526322,310.0
55.5176607076779,-21.090185558170873,310.0
55.510960874777254,-21.094528104916545,310.0
55.50471564025418,-21.09947210582402,310.0
55.4989458961308,-21.104659409218176,310.0
55.494629387172886,-21.111323757126005,310.0
55.48892080941681,-21.116907717539302,310.0
55.483233267234716,-21.12253100695274,310.0
55.47617677989909,-21.126284446083638,310.0
