longitude,latitude,A (mGal)
55.258069270332186,-21.1097787266728,252.5
55.259020448625485,-21.110087368624512,252.5
55.259971626918784,-21.110396010576224,252.5
55.26092280521208,-21.110704652527936,252.5
55.26187398350538,-21.111013294479648,252.5
55.262716603435315,-21.111539880644425,252.5
55.263535970339966,-21.112113150105984,252.5
55.26435533724462,-21.112686419567545,252.5
55.26517470414928,-21.113259689029103,252.5
55.26599407105393,-21.113832958490665,252.5
55.26681343795859,-21.114406227952223,252.5
55.26763280486324,-21.114979497413785,252.5
55.2684521717679,-21.115552766875343,252.5
55.26927153867255,-21.116126036336905,252.5
55.270090905577206,-21.116699305798463,252.5
55.270850198356705,-21.117346775990402,252.5
55.27158143464458,-21.11802890023957,252.5
55.27231267093245,-21.118711024488732,252.5
55.27304390722033,-21.119393148737895,252.5
55.273775143508196,-21.120075272987062,252.5
55.27437696480007,-21.120869618068845,252.5
55.274948674764275,-21.121690073867065,252.5
55.27552038472847,-21.122510529665284,252.5
55.27609209469268,-21.123330985463504,252.5
55.27666380465688,-21.124151441261724,252.5
55.27723551462108,-21.124971897059943,252.5
55.277807836459914,-21.12579192104201,252.5
55.278389302376475,-21.12660549180591,252.5
55.278970768293036,-21.127419062569814,252.5
55.279552234209596,-21.12823263333372,252.5
55.28013370012616,-21.129046204097623,252.5
55.28046186695686,-21.129989923111328,252.5
55.28078472114222,-21.130936371828906,252.5
55.28110757532757,-21.13188282054648,252.5
55.281430429512916,-21.132829269264057,252.5
55.281753283698265,-21.133775717981635,252.5
55.28207613788362,-21.13472216669921,252.5
55.28222313762023,-21.13569778409936,252.5
55.28222313762023,-21.136697784099358,252.5
55.28222313762023,-21.13769778409936,252.5
55.28222313762023,-21.13869778409936,252.5
55.28222313762023,-21.139697784099358,252.5
55.28222313762023,-21.14069778409936,252.5
55.28222313762023,-21.14169778409936,252.5
55.28222313762023,-21.142697784099358,252.5
55.28222313762023,-21.14369778409936,252.5
55.28228038818854,-21.144684840406473,252.5
55.282710575651706,-21.14558757998494,252.5
55.28314076311488,-21.14649031956341,252.5
55.283570950578046,-21.147393059141876,252.5
55.28400113804121,-21.148295798720344,252.5
55.284431325504386,-21.149198538298812,252.5
55.28511877212459,-21.149871229332298,252.5
55.285968006934674,-21.150399244708346,252.5
55.28681724174476,-21.150927260084394,252.5
55.28766647655484,-21.151455275460442,252.5
55.28851571136492,-21.15198329083649,252.5
55.289364946175006,-21.152511306212535,252.5
55.29018222350359,-21.153082317177827,252.5
55.2909326411915,-21.153743281090357,252.5
55.291683058879414,-21.15440424500289,252.5
55.292433476567325,-21.15506520891542,252.5
55.293183894255236,-21.155726172827954,252.5
55.29393431194315,-21.156387136740484,252.5
55.294684729631065,-21.157048100653014,252.5
55.29541266367029,-21.157730949976365,252.5
55.296053154885875,-21.158498915472183,252.5
55.29669364610145,-21.159266880967998,252.5
55.29733413731704,-21.160034846463812,252.5
55.297974628532614,-21.16080281195963,252.5
55.2986151197482,-21.161570777455445,252.5
55.299255610963776,-21.16233874295126,252.5
55.299730854959414,-21.163210049885425,252.5
55.30014098785691,-21.16412207565611,252.5
55.300551120754406,-21.16503410142679,252.5
55.300961253651906,-21.165946127197476,252.5
55.301371386549405,-21.16685815296816,252.5
55.3017815194469,-21.16777017873884,252.5
55.3021916523444,-21.168682204509526,252.5
55.30260178524189,-21.16959423028021,252.5
55.30301191813939,-21.170506256050892,252.5
55.303406851821414,-21.171424637084623,252.5
55.30376797921069,-21.172357153577085,252.5
55.304129106599966,-21.17328967006955,252.5
55.304490233989235,-21.174222186562016,252.5
55.30485136137851,-21.175154703054478,252.5
55.30521248876778,-21.176087219546943,252.5
55.305573616157055,-21.177019736039405,252.5
55.305934743546324,-21.17795225253187,252.5
55.3062958709356,-21.178884769024336,252.5
55.30665699832487,-21.179817285516798,252.5
55.307018125714144,-21.180749802009263,252.5
55.30748035140629,-21.181632274301137,252.5
55.30800287769797,-21.182484897473767,252.5
55.308525403989655,-21.183337520646393,252.5
55.30904793028134,-21.18419014381902,252.5
55.30957045657302,-21.185042766991646,252.5
55.3100929828647,-21.185895390164273,252.5
55.310615509156385,-21.186748013336903,252.5
55.31113803544807,-21.18760063650953,252.5
55.31166056173975,-21.188453259682156,252.5
55.3119893044334,-21.189378088071273,252.5
55.312152108222136,-21.19036474653618,252.5
55.31231491201087,-21.191351405001086,252.5
55.31247771579961,-21.192338063465993,252.5
55.31264051958834,-21.193324721930903,252.5
55.312803323377075,-21.19431138039581,252.5
55.312966127165815,-21.195298038860717,252.5
55.31323446534031,-21.19624039120124,252.5
55.31382476431722,-21.197047575887574,252.5
55.314415063294135,-21.197854760573907,252.5
55.31500536227105,-21.19866194526024,252.5
55.31559566124797,-21.199469129946575,252.5
55.316185960224885,-21.20027631463291,252.5
55.3167762592018,-21.201083499319243,252.5
55.31736655817872,-21.201890684005576,252.5
55.31800390993745,-21.202660272982804,252.5
55.31866092052184,-21.203414154334208,252.5
55.31931793110624,-21.204168035685615,252.5
55.31997494169063,-21.20492191703702,252.5
55.32063195227502,-21.205675798388423,252.5
55.32128896285941,-21.20642967973983,252.5
55.322007975878094,-21.20712360221577,252.5
55.32273942274308,-21.20780550065667,252.5
55.323470869608066,-21.208487399097567,252.5
55.324202316473055,-21.209169297538466,252.5
55.324933763338045,-21.209851195979365,252.5
55.32566521020303,-21.210533094420263,252.5
55.32639665706802,-21.211214992861162,252.5
55.327128103933006,-21.21189689130206,252.5
55.32785955079799,-21.21257878974296,252.5
55.32859099766298,-21.21326068818386,252.5
55.329223221248384,-21.21401132829589,252.5
55.32960462139026,-21.21493573834115,252.5
55.329986021532136,-21.215860148386408,252.5
55.33036742167401,-21.21678455843167,252.5
55.33074882181589,-21.217708968476927,252.5
55.331130221957764,-21.21863337852219,252.5
55.33151162209965,-21.219557788567446,252.5
55.33189302224152,-21.220482198612707,252.5
55.3322744223834,-21.221406608657965,252.5
55.332655822525275,-21.222331018703226,252.5
55.33303722266715,-21.223255428748484,252.5
55.33341862280903,-21.224179838793745,252.5
55.33380131960798,-21.225103712111746,252.5
55.334184840961846,-21.226027244120466,252.5
55.334568362315714,-21.226950776129183,252.5
55.33495188366958,-21.227874308137903,252.5
55.33533540502344,-21.228797840146623,252.5
55.33571892637731,-21.22972137215534,252.5
