longitude,latitude,A (mGal)
55.32082069291339,-21.165446273978702,247.5
55.32539403127354,-21.174314663050534,247.5
55.32816826854915,-21.183766977956996,247.5
55.33027878017155,-21.193459173629332,247.5
55.3364796462315,-21.200973364478138,247.5
55.344142365703185,-21.207389736354276,247.5
55.34942066389379,-21.21561146345552,247.5
55.353140586736984,-21.224873392078173,247.5
55.355652348194404,-21.23452564862652,247.5
55.35926509381815,-21.243511958902015,247.5
55.36664998465216,-21.250211018764105,247.5
55.371493316525346,-21.258062260209602,247.5
55.36908038397193,-21.26749811875167,247.5
55.360491424706844,-21.27231803556063,247.5
55.351368601353215,-21.276358130293698,247.5
55.2258340561707,-21.055961260611333,245.0
55.2354409791552,-21.05539703431737,245.0
55.24392974586281,-21.060350245730966,245.0
55.251154136340574,-21.06724596620967,245.0
55.25775824949553,-21.074742770387516,245.0
55.26403807234796,-21.08252412361508,245.0
55.27239629244187,-21.08789240508586,245.0
55.28076978632001,-21.092748675396503,245.0
55.28603766376776,-21.10123000190655,245.0
55.289510234460195,-21.11060770166641,245.0
55.29315136606639,-21.119919087395463,245.0
55.29581084608073,-21.129426105617334,245.0
55.29955554848541,-21.138275792258952,245.0
55.30766224220603,-21.14398286663752,245.0
55.31463558847073,-21.15109169670965,245.0
55.32219665805574,-21.15755264361559,245.0
55.32926574034456,-21.164530354644633,245.0
55.33554989361572,-21.172050379417673,245.0
55.337298869884506,-21.181785014874137,245.0
55.3405518712102,-21.190639517451842,245.0
55.34934475517174,-21.195096864799915,245.0
55.358866908793075,-21.195769615112358,245.0
55.3686662125093,-21.193776214330477,245.0
55.37606297588575,-21.18729663169276,245.0
55.38349502516641,-21.18061854090006,245.0
55.39164367053578,-21.17487040017573,245.0
55.394699413253214,-21.165779051791688,245.0
55.39247519873336,-21.15624020466419,245.0
55.38651075594069,-21.14827145143468,245.0
55.37928722757543,-21.14136174200851,245.0
55.37462699974474,-21.133117804570077,245.0
55.3727964998269,-21.123307156762497,245.0
55.37010158962241,-21.113765443829347,245.0
55.37062096784616,-21.10378565201381,245.0
55.371861791796334,-21.093862932833833,245.0
55.37528416039639,-21.084724501890385,245.0
55.38209719975528,-21.077545810605347,245.0
55.388681381234086,-21.070265453483497,245.0
55.38916419022777,-21.06074030316237,245.0
55.3861983357357,-21.051190243438775,245.0
55.38324536278986,-21.041636189284592,245.0
55.379197587069534,-21.03251602975931,245.0
55.37424204529357,-21.023878727339643,245.0
55.368202609384376,-21.01590845671069,245.0
55.36119506359175,-21.008862487245526,245.0
55.35231169527924,-21.004356667865917,245.0
55.34261963078368,-21.002059545990814,245.0
55.33271731285745,-21.001632546973887,245.0
55.32373728329336,-21.005848213979004,245.0
55.31664522208248,-21.01282294937129,245.0
55.30933041885775,-21.01953224217592,245.0
55.30143265796601,-21.025643079546505,245.0
55.29190167325934,-21.02667118244469,245.0
55.28191063931762,-21.026825721956747,245.0
55.272324079562175,-21.02416611777531,245.0
55.26859509641554,-21.015031659933104,245.0
55.35107717391651,-21.178054087701348,242.5
55.36091688438282,-21.17907751248906,242.5
55.370832570631606,-21.17780143557205,242.5
55.38061500013598,-21.17580618218062,242.5
55.389050998082254,-21.170660104192716,242.5
55.392557617770485,-21.162526486067332,242.5
55.38718099593656,-21.154387807473025,242.5
55.37920085729974,-21.14850237739494,242.5
55.371392775244594,-21.142336498722223,242.5
55.36697160132725,-21.13339971202295,242.5
55.36426837603303,-21.123845269778254,242.5
55.36376377075119,-21.113860430572966,242.5
55.36355363291479,-21.103862638712275,242.5
55.36123056774481,-21.094149755446775,242.5
55.35828275419271,-21.08460073490108,242.5
55.36148496923995,-21.07666945589792,242.5
55.370680993247696,-21.07284414575671,242.5
55.38013341744972,-21.069816670726773,242.5
55.38229066190176,-21.06043073667718,242.5
55.3779909681171,-21.05140230196519,242.5
55.37305079999667,-21.042755783096208,242.5
55.36715193781151,-21.03468091932519,242.5
55.35973855374514,-21.02800848021083,242.5
55.35292604597389,-21.02071793159454,242.5
55.3442637437928,-21.01590153197556,242.5
55.334506297867044,-21.016790900628934,242.5
55.32504138419915,-21.01997030486482,242.5
55.31626039351517,-21.02464338986746,242.5
55.30801027852442,-21.030293418247254,242.5
55.30257806498341,-21.038540881816044,242.5
55.30549783963958,-21.046894346793255,242.5
55.3147084973026,-21.049853750922107,242.5
55.324346659789875,-21.052083653661345,242.5
55.334207460595934,-21.053588087804737,242.5
55.339759955358915,-21.06146137542205,242.5
55.337452141345615,-21.07080518566065,242.5
55.33167076504413,-21.07894270783987,242.5
55.32353421877121,-21.0846811846032,242.5
55.31427688737689,-21.087698349327788,242.5
55.30443501993069,-21.08933119926319,242.5
55.29547884274348,-21.093477006613888,242.5
55.29342461010825,-21.103196886575027,242.5
55.29562149544955,-21.112395492947357,242.5
55.30040267138021,-21.121133602738187,242.5
55.30389652676384,-21.130503393267237,242.5
55.309691768566076,-21.138614838465127,242.5
55.31672191569493,-21.145596718045887,242.5
55.324779638121385,-21.151507264258356,242.5
55.33309738393248,-21.157041409730596,242.5
55.340633207960984,-21.16361017418993,242.5
55.34572985656677,-21.172012284415025,242.5
55.32377298710934,-21.098608265951608,240.0
55.3140209470082,-21.100821343868382,240.0
55.30742091520182,-21.107799264147452,240.0
55.30821073165429,-21.117672522196933,240.0
55.312745451208045,-21.126490231996158,240.0
55.31796420155411,-21.13496878660748,240.0
55.32551587263119,-21.141476276861958,240.0
55.334736663511514,-21.14534629178976,240.0
55.3437337351043,-21.149660743371747,240.0
55.34930080765233,-21.15796783090259,240.0
55.35573600485923,-21.165617831830414,240.0
55.36467800786848,-21.168599383388866,240.0
55.374573060952805,-21.168390833659306,240.0
55.38441603837896,-21.166625672083615,240.0
55.386498102782646,-21.160186250715185,240.0
55.37697175068811,-21.15742166774753,240.0
55.36835571928312,-21.152637243242424,240.0
55.3612117326222,-21.14577613117963,240.0
55.35678063699158,-21.13704272346558,240.0
55.353695550142895,-21.127541096735513,240.0
55.35071183518658,-21.118010149720515,240.0
55.347335971191605,-21.10867253899225,240.0
55.33982884016312,-21.1024258261342,240.0
55.33054723677918,-21.098787619115786,240.0
55.32614726422302,-21.110237143195288,237.5
55.323305556609384,-21.11805150765173,237.5
55.331139466558746,-21.122792420789445,237.5
55.33397192848945,-21.11517091985063,237.5
55.37808457608445,-21.285113816653297,245.0
55.38672768310114,-21.280091558483967,245.0
55.39306677961901,-21.272357514328977,245.0
55.39594283434686,-21.263294332456777,245.0
55.38831498688097,-21.257325001643256,245.0
55.38178304148638,-21.249899820150347,245.0
55.37487787372154,-21.24266948832197,245.0
55.3699485480274,-21.23425874896837,245.0
55.37061436601553,-21.224962239131802,245.0
55.37993172821775,-21.22443181380433,245.0
55.388995602183975,-21.22865628876866,245.0
55.39586556361112,-21.235836307276465,245.0
55.40446418209922,-21.240791948538114,245.0
55.41052746578031,-21.248592701597026,245.0
55.408897625339584,-21.257555178530207,245.0
55.40647357771463,-21.266670344466274,245.0
55.41354703520402,-21.272238073723727,245.0
55.42237410340862,-21.26801691690434,245.0
55.42384388112033,-21.25955983102556,245.0
55.41672900850301,-21.252536702944262,245.0
55.41897971197953,-21.24340842544545,245.0
55.42220682082723,-21.234013324569165,245.0
55.427751513646335,-21.22571362505675,245.0
55.4360315224179,-21.22101489058083,245.0
55.445661542415024,-21.2225606684305,245.0
55.45268736320142,-21.2288361798579,245.0
55.45121456627218,-21.23836417965408,245.0
55.448976699968036,-21.248070007119082,245.0
55.449781442897596,-21.257364033424928,245.0
55.45723523992443,-21.26396018476298,245.0
55.46374996863516,-21.271472300708215,245.0
55.472702764015914,-21.274658299363256,245.0
55.47883003471309,-21.26722032982037,245.0
55.48632029952981,-21.26109189939414,245.0
55.496291220561,-21.260591023542947,245.0
55.505765741762005,-21.258249874390742,245.0
55.51015374053207,-21.250271254223538,245.0
55.50476101943385,-21.241935868164845,245.0
55.504296705434584,-21.23449836020868,245.0
